N,Name,Current Price,Change,Change Rate,Volume,Trading Value,Market Cap,Shares,Foreign Ratio,PER,ROE,토론
1844,삼성 블룸버그 WTI원유 선물 ETN,"10,315",하락150,-1.43%,0,103,"1,000",0.00,3,N/A,N/A,
1845,TIGER AI코리아그로스액티브,"12,890",하락110,-0.85%,0,103,800,0.13,264,N/A,N/A,
1846,한투 인버스 2X 일본 엔선물 ETN,"10,300",보합0,0.00%,0,103,"1,000",0.00,0,N/A,N/A,
1847,삼성 인버스 구리 선물 ETN(H),"10,280",상승100,+0.98%,0,103,"1,000",0.00,3,N/A,N/A,
1848,KB 레버리지 미국채 10년 ETN,"20,535",보합0,0.00%,0,103,500,0.00,0,N/A,N/A,
1849,메리츠 KAP 일본 엔화 ETN,"10,245",하락10,-0.10%,0,102,"1,000",0.00,172,N/A,N/A,
1850,한투 인버스 은 선물 ETN,"10,225",상승165,+1.64%,0,102,"1,000",0.00,1,N/A,N/A,
1851,KB 블룸버그 레버리지 천연가스 선물 ETN,"4,080",상승120,+3.03%,0,102,"2,500",0.00,"30,982",N/A,N/A,
1852,KODEX 테슬라밸류체인FactSet,"12,000",하락340,-2.76%,0,102,850,0.00,877,N/A,N/A,
1853,KOSEF 블루칩,"8,495",상승25,+0.30%,0,102,"1,200",0.00,18,N/A,N/A,
1854,TIGER 한중반도체(합성),"11,990",보합0,0.00%,0,102,850,0.00,0,N/A,N/A,
1855,TREX 펀더멘탈 200,"40,760",하락590,-1.43%,0,102,250,0.08,28,N/A,N/A,
1856,신한 S&P 인버스 2X 유로 선물 ETN(H),"10,190",상승25,+0.25%,0,102,"1,000",0.00,74,N/A,N/A,
1857,KB 레버리지 미국채 10년 선물 ETN,"20,345",보합0,0.00%,0,102,500,0.00,0,N/A,N/A,
1858,삼성 구리 선물 ETN(H),"10,100",보합0,0.00%,0,101,"1,000",0.00,0,N/A,N/A,
1859,메리츠 KAP 인버스 2X 일본 엔화 ETN,"20,185",상승100,+0.50%,0,101,500,0.00,230,N/A,N/A,
1860,TIMEFOLIO 글로벌안티에이징바이오액티브,"10,090",하락30,-0.30%,0,101,"1,000",0.00,"104,837",N/A,N/A,
1861,N2 US 500 ETN(H),"14,405",보합0,0.00%,0,101,700,0.00,0,N/A,N/A,
1862,KB 미국채 30년 ETN,"10,075",보합0,0.00%,0,101,"1,000",0.00,0,N/A,N/A,
1863,대신 인버스 국채10년 ETN,"10,020",보합0,0.00%,0,100,"1,000",0.00,0,N/A,N/A,
